id_jugador;nombre;orden;equipo;pais_iso_3
21;Fernando Daniel Santillan;3;Upsfield;AUS
21;Fernando Daniel Santillan;4;Collingwood City;AUS
22;Mariano Gabriel Chain;0;Platense;ARG
22;Mariano Gabriel Chain;1;Leandro N.Alem;ARG
22;Mariano Gabriel Chain;2;General Lamadrid;ARG
22;Mariano Gabriel Chain;3;Moreland United;AUS
22;Mariano Gabriel Chain;4;Fitzroy City;AUS
22;Mariano Gabriel Chain;5;Moreland United SC;AUS
23;Sebastian Goyenechea;0;Endeavour United;AUS
24;Matias Chiorazo;0;Melbourne City FC;AUS
25;Agustin Montes Miranda;0;Melbourne City FC;AUS
26;Emilio Lucarena;0;Melbourne City FC;AUS
27;Fabian Pacheco;0;Melbourne City FC;AUS
28;Adrian Santa Maria;0;Melbourne City FC;AUS
29;Gabriel Raponi;0;West Preston;AUS
30;Luciano Salomon;0;Knox United FC;AUS
31;Mariano Benet;0;San Lorenzo;ARG
31;Mariano Benet;1;Brimbank Satallions;AUS
31;Mariano Benet;2;Westside Strikers Caroline Springs;AUS
32;Luciano Emanuel Araya;0;El Linqueño;ARG
32;Luciano Emanuel Araya;1;Unión San Felipe;CHL
32;Luciano Emanuel Araya;2;Uruguay Montevideo;URY
32;Luciano Emanuel Araya;3;Jorge Newbey;ARG
32;Luciano Emanuel Araya;4;Sport de Salto;ARG
32;Luciano Emanuel Araya;5;Rivadavia de Lincoln;ARG
32;Luciano Emanuel Araya;6;Coquimbo Unido;CHL
32;Luciano Emanuel Araya;7;Liga de Salto;ARG
32;Luciano Emanuel Araya;8;Sheikh Jamal Dhanmondi;BGD
33;Sergio Ariel Escudero;0;Vélez;ARG
33;Sergio Ariel Escudero;1;Urawa Red Diamonds;JPN
33;Sergio Ariel Escudero;2;FC Seul;KOR
33;Sergio Ariel Escudero;3;Jaignsu GS;CHN
33;Sergio Ariel Escudero;4;Kyoto Sanga;JPN
33;Sergio Ariel Escudero;5;Ulsan Hyundai;KOR
34;Diego Oscar Bielkiewicz;0;Lanus;ARG
34;Diego Oscar Bielkiewicz;1;Atlanta;ARG
34;Diego Oscar Bielkiewicz;2;San Telmo;ARG
34;Diego Oscar Bielkiewicz;3;Flandria;ARG
34;Diego Oscar Bielkiewicz;4;Gimnasia y Tiro;ARG
34;Diego Oscar Bielkiewicz;5;Estudiantes de Buenos Aires;ARG
34;Diego Oscar Bielkiewicz;6;Defensores de Belgrano de Villa Ramallo;ARG
34;Diego Oscar Bielkiewicz;7;Iquique;CHL
34;Diego Oscar Bielkiewicz;8;Seul E Land;KOR
35;Augusto Matias Fernández;0;River;ARG
35;Augusto Matias Fernández;1;Saint Ettienne;FRA
35;Augusto Matias Fernández;2;Vélez;ARG
35;Augusto Matias Fernández;3;Celta de Vigo;ESP
35;Augusto Matias Fernández;4;Atletico de Madrid;ESP
35;Augusto Matias Fernández;5;Beijing Rehne;CHN
36;Osvaldo Nicolas Gaitan;0;Boca;ARG
36;Osvaldo Nicolas Gaitan;1;Benfica;PRT
36;Osvaldo Nicolas Gaitan;2;Atletico Madrid;ESP
36;Osvaldo Nicolas Gaitan;3;Dalian Yifang;CHN
37;Ezequiel Ivan Lavezzi;0;Estudiantes de Buenos Aires;ARG
37;Ezequiel Ivan Lavezzi;1;San Lorenzo;ARG
37;Ezequiel Ivan Lavezzi;2;Genova;ITA
37;Ezequiel Ivan Lavezzi;3;San Lorenzo;ARG
37;Ezequiel Ivan Lavezzi;4;Napoli;ITA
37;Ezequiel Ivan Lavezzi;5;Paris Saint Germain;FRA
37;Ezequiel Ivan Lavezzi;6;Hebei Fortune;CHN
38;Javier Alejandro Mascherano;0;River;ARG
38;Javier Alejandro Mascherano;1;Corinthians;BRA
38;Javier Alejandro Mascherano;2;West Ham;ENG
38;Javier Alejandro Mascherano;3;Liverpool;ENG
38;Javier Alejandro Mascherano;4;Barcelona;ESP
38;Javier Alejandro Mascherano;5;Hebei Fortune;CHN
39;Gabriel Alejandro Paletta;0;Banfield;ARG
39;Gabriel Alejandro Paletta;1;Liverpool;ENG
39;Gabriel Alejandro Paletta;2;Boca;ARG
39;Gabriel Alejandro Paletta;3;Parma;ITA
39;Gabriel Alejandro Paletta;4;Milan;ITA
39;Gabriel Alejandro Paletta;5;Atalanta;ITA
39;Gabriel Alejandro Paletta;6;Milan;ITA
39;Gabriel Alejandro Paletta;7;Jiangsu Suning;CHN
40;Sebastián Lucas Tagliabúe;0;Colegiales;ARG
40;Sebastián Lucas Tagliabúe;1;Everton;CHL
40;Sebastián Lucas Tagliabúe;2;Deportes La Serena;CHL
40;Sebastián Lucas Tagliabúe;3;Once Caldas;COL
40;Sebastián Lucas Tagliabúe;4;Al Ittifaq;ASM
40;Sebastián Lucas Tagliabúe;5;Al Shabab;ASM
40;Sebastián Lucas Tagliabúe;6;Al Wahda;ARE
41;Mauro Alberto Diaz;0;River;ARG
41;Mauro Alberto Diaz;1;Union Española;CHL
41;Mauro Alberto Diaz;2;FC Dallas;USA
41;Mauro Alberto Diaz;3;FC Shabab Al Ahly;ARE
42;Emiliano Gabriel Vecchio;0;Rosario Central;ARG
42;Emiliano Gabriel Vecchio;1;Fuenlabrada;ESP
42;Emiliano Gabriel Vecchio;2;Rayo Majadahonda;ESP
42;Emiliano Gabriel Vecchio;3;Gremio Prudente;BRA
42;Emiliano Gabriel Vecchio;4;Defensores de Belgrano de Villa Ramallo;ARG
42;Emiliano Gabriel Vecchio;5;Unión Española;CHL
42;Emiliano Gabriel Vecchio;6;Colo Colo;CHL
42;Emiliano Gabriel Vecchio;7;Qatar Sprot Club;QAT
42;Emiliano Gabriel Vecchio;8;Santos;BRA
42;Emiliano Gabriel Vecchio;9;FC Shabab Al Ahly;ARE
43;Carlos Daniel Salom;0;Sacachispas;ARG
43;Carlos Daniel Salom;1;Rayo Vallecano;ESP
43;Carlos Daniel Salom;2;Barracas Central.;ARG
43;Carlos Daniel Salom;3;Nueva Chicago;ARG
