id_jugador;confederacion;pais;pais_iso_3;categoria;liga;equipo;nombre;ciudad_nacimiento;fecha_nacimiento;puesto;trayectoria
10;AFC;AUSTRALIA;AUS;3;Victoria National Premier League 2;Murray United;Gonzalo Freddi;Mar del Plata, Buenos Aires ;24/02/1993;DEL;['Cadetes de San Martin (ARG)', 'Peñarol de Mar del Plata (ARG)', 'Dandenong City (AUS)', 'Richmond (AUS)', 'Murray United (AUS)']
11;AFC;AUSTRALIA;AUS;3;Victoria National Premier League 2;Saint Albans Saints;Hernán Espindola;Ciudad de Buenos Aires ;19/10/1994;VOL;['Melbourne Victory U21 (AUS)', 'Pascoe Vale (AUS)', 'Melbourne Heart (AUS)', 'Melbourne City (AUS)', 'Hume City (AUS)', 'Saint Albans Saints (AUS)']
12;AFC;AUSTRALIA;AUS;4;North New South Wales Far North Coast Premier;Byron Bay FC;Damian Casiro;;;;['Byron Bay FC (AUS)']
13;AFC;AUSTRALIA;AUS;4;Queensland Gold Coast Premier League;Surfers Paradise Apollo SC;Heraldo Santiago Gauna;Ciudad de Buenos Aires ;06/04/1991;VOL;['ACF Fury (NZL)', 'Waiheke United (NZL)', 'Surfers Paradise Apollo SC (AUS)']
14;AFC;AUSTRALIA;AUS;4;Victoria State League 2;Malvern City FC;Jordan Ariel Mariani;Ciudad de Buenos Aires ;25/04/1992;DEF;['Excursionistas (ARG)', 'River (ARG)', 'Atlanta (ARG)', 'Diamond Valley United (AUS)', 'North City Wolves (AUS)', 'Moreland United (AUS)', 'Malvern City FC (AUS)']
15;AFC;AUSTRALIA;AUS;5;New South Wales State League 1;Bankstown United;Federico Nahuel Cruz;Exaltacion de la Cruz, Buenos Aires ;;DEF;['Villa Dalmine (ARG)', 'Fenix (ARG)', 'Robles de Zarate (ARG)', 'Puerto Nuevo (ARG)', 'Wellington Olympics (NZL)', 'Bankstown United (AUS)']
16;AFC;AUSTRALIA;AUS;5;New South Wales State League 1;Hurstville FC;German Gonzalo Cabrera;Merlo, Buenos Aires ;15/09/1985;VOL;['Sydney Olympic (AUS)', 'Northern Spirit (AUS)', 'Apoel Nicossia (CYP)', 'Rockdale Llinden (AUS)', 'Mirandes (ESP)', 'Albion Park (AUS)', 'Vasco Club (IND)', 'Hakioah Sydney City East (AUS)', 'Hurstville FC (AUS)']
17;AFC;AUSTRALIA;AUS;5;Victoria State League 2;South Yarra SC;Ignacio Lopez Scala;;;;['South Yarra SC (AUS)']
18;AFC;AUSTRALIA;AUS;5;Victoria State League 2;Westgate FC;Juan Igic;;;;['South Melbourne (AUS)', 'Melborune City FC (AUS)', 'Westgate FC (AUS)']
19;AFC;AUSTRALIA;AUS;5;Victoria State League 2;Westvale FC;Matías Reposi;Salto, Buenos Aires ;17/03/1990;VOL;['Melborune Cvity FC (AUS)', 'Moreland United (AUS)', 'Westvale FC (AUS)']
20;AFC;AUSTRALIA;AUS;6;New South Wales Manly Warringah AL1;Avalon Soccer;Nehuen Alva;;;;['Avalon Soccer (AUS)']
21;AFC;AUSTRALIA;AUS;6;Victoria State League 3;Collingwood City;Fernando Daniel Santillan;Cordoba ;;;['Melborune City Reserves (AUS)', 'AFC Fury (NZL)', 'Melbourne City (AUS)', 'Upsfield (AUS)', 'Collingwood City (AUS)']
22;AFC;AUSTRALIA;AUS;6;Victoria State League 3;Moreland United SC;Mariano Gabriel Chain;Ciudad de Buenos Aires ;18/10/1993;VOL;['Platense (ARG)', 'Leandro N.Alem (ARG)', 'General Lamadrid (ARG)', 'Moreland United (AUS)', 'Fitzroy City (AUS)', 'Moreland United SC (AUS)']
23;AFC;AUSTRALIA;AUS;7;Victoria State League 4;Endeavour United;Sebastian Goyenechea;;;;['Endeavour United (AUS)']
24;AFC;AUSTRALIA;AUS;7;Victoria State League 4;Melbourne City FC;Matias Chiorazo;;;;['Melbourne City FC (AUS)']
25;AFC;AUSTRALIA;AUS;7;Victoria State League 4;Melbourne City FC;Agustin Montes Miranda;;;;['Melbourne City FC (AUS)']
26;AFC;AUSTRALIA;AUS;7;Victoria State League 4;Melbourne City FC;Emilio Lucarena;;;;['Melbourne City FC (AUS)']
27;AFC;AUSTRALIA;AUS;7;Victoria State League 4;Melbourne City FC;Fabian Pacheco;;;;['Melbourne City FC (AUS)']
28;AFC;AUSTRALIA;AUS;7;Victoria State League 4;Melbourne City FC;Adrian Santa Maria;;;;['Melbourne City FC (AUS)']
29;AFC;AUSTRALIA;AUS;7;Victoria State League 4;West Preston;Gabriel Raponi;;;;['West Preston (AUS)']
30;AFC;AUSTRALIA;AUS;8;Victoria State League 5;Knox United FC;Luciano Salomon;;;;['Knox United FC (AUS)']
31;AFC;AUSTRALIA;AUS;8;Victoria State League 5;Westside Strikers Caroline Springs;Mariano Benet;;;DEL;['San Lorenzo (ARG)', 'Brimbank Satallions (AUS)', 'Westside Strikers Caroline Springs (AUS)']
32;AFC;BANGLADESH;BGD;1;Premier League;Sheikh Jamal Dhanmondi;Luciano Emanuel Araya;Junin, Buenos Aires ;08/05/1993;VOL;['El Linqueño (ARG)', 'Unión San Felipe (CHL)', 'Uruguay Montevideo (URY)', 'Jorge Newbey (ARG)', 'Sport de Salto (ARG)', 'Rivadavia de Lincoln (ARG)', 'Coquimbo Unido (CHL)', 'Liga de Salto (ARG)', 'Sheikh Jamal Dhanmondi (BGD)']
33;AFC;COREA;KOR;1;K League 1;Ulsan Hyundai;Sergio Ariel Escudero;Granada, España ;09/01/1988;DEL;['Vélez (ARG)', 'Urawa Red Diamonds (JPN)', 'FC Seul (KOR)', 'Jaignsu GS (CHN)', 'Kyoto Sanga (JPN)', 'Ulsan Hyundai (KOR)']
